checkpoint,processed,exact_mean,estimate_mean,estimate_std
0,50001,47641,45749.3,116.85
1,100001,90688,86698.9,231.137
2,150001,129620,123568,353.821
3,200001,164785,156738,462.225
4,250001,196825,186738,592.764
5,300001,225568,213836,726.641
6,350001,251675,238336,786.046
7,400001,275248,260405,865.844
8,450001,296598,280397,878.279
9,500001,315883,298467,994.124
10,550001,333439,314776,1104.56
11,600001,349378,337326,822.204
12,650001,363703,349706,856.446
13,700001,376559,361023,893.456
14,750001,388324,371306,917.649
15,800001,398989,380694,931.839
16,850001,408550,389214,978.359
17,900001,417295,396963,988.314
18,950001,425209,404016,1021.24
19,1000000,432324,410410,997.659
