stream_id,checkpoint,processed,exact,estimate
0,0,50001,47641,45714.8
0,1,100001,90688,86710.3
0,2,150001,129620,123262
0,3,200001,164785,156549
0,4,250001,196825,187048
0,5,300001,225568,214790
0,6,350001,251675,239257
0,7,400001,275248,261009
0,8,450001,296598,280879
0,9,500001,315883,298713
0,10,550001,333439,315375
0,11,600001,349378,337599
0,12,650001,363703,349921
0,13,700001,376559,361302
0,14,750001,388324,371458
0,15,800001,398989,380714
0,16,850001,408550,389062
0,17,900001,417295,396690
0,18,950001,425209,403653
0,19,1000000,432324,410092
1,0,50001,47564,45663.8
1,1,100001,90627,86323.3
1,2,150001,129687,123866
1,3,200001,165035,156849
1,4,250001,197135,186603
1,5,300001,225985,213739
1,6,350001,251876,238163
1,7,400001,275356,260249
1,8,450001,296745,280360
1,9,500001,316116,299173
1,10,550001,333576,315486
1,11,600001,349191,336853
1,12,650001,363528,349043
1,13,700001,376403,360091
1,14,750001,388173,370186
1,15,800001,398579,379338
1,16,850001,408138,387551
1,17,900001,416892,395181
1,18,950001,424729,402158
1,19,1000000,431973,408572
2,0,50001,47596,45795.6
2,1,100001,90573,86217.1
2,2,150001,129635,122884
2,3,200001,164787,155969
2,4,250001,196844,185903
2,5,300001,225794,212848
2,6,350001,251808,237048
2,7,400001,275419,259429
2,8,450001,296807,279717
2,9,500001,316233,298382
2,10,550001,333723,314513
2,11,600001,349556,337450
2,12,650001,363537,349268
2,13,700001,376357,360129
2,14,750001,388054,370174
2,15,800001,398665,379741
2,16,850001,408298,387858
2,17,900001,417136,395748
2,18,950001,425100,402826
2,19,1000000,432308,409321
3,0,50001,47574,45660.9
3,1,100001,90618,86648.3
3,2,150001,129447,123175
3,3,200001,164687,156420
3,4,250001,196638,187023
3,5,300001,225472,213754
3,6,350001,251525,238132
3,7,400001,275227,260009
3,8,450001,296485,279869
3,9,500001,315885,298070
3,10,550001,333294,313887
3,11,600001,349048,336497
3,12,650001,363433,348873
3,13,700001,376415,359616
3,14,750001,388035,369894
3,15,800001,398719,379540
3,16,850001,408329,388156
3,17,900001,417118,396106
3,18,950001,425043,403411
3,19,1000000,432078,409851
4,0,50001,47595,45879.3
4,1,100001,90674,87046
4,2,150001,129499,123848
4,3,200001,164826,157456
4,4,250001,196545,187411
4,5,300001,225429,214955
4,6,350001,251513,239213
4,7,400001,275284,261405
4,8,450001,296794,280930
4,9,500001,316125,298850
4,10,550001,333630,316031
4,11,600001,349539,338660
4,12,650001,363825,351038
4,13,700001,376738,362361
4,14,750001,388334,372364
4,15,800001,399084,382216
4,16,850001,408635,390593
4,17,900001,417487,398558
4,18,950001,425273,405554
4,19,1000000,432386,411879
5,0,50001,47657,45899.2
5,1,100001,90607,86507
5,2,150001,129555,123252
5,3,200001,164857,156258
5,4,250001,196818,186006
5,5,300001,225548,213071
5,6,350001,251779,237862
5,7,400001,275131,260067
5,8,450001,296577,280004
5,9,500001,315885,297537
5,10,550001,333500,313821
5,11,600001,349320,336769
5,12,650001,363685,349579
5,13,700001,376631,360875
5,14,750001,388375,371023
5,15,800001,398985,380538
5,16,850001,408710,389365
5,17,900001,417193,397019
5,18,950001,425123,404227
5,19,1000000,432204,410560
6,0,50001,47531,45625.5
6,1,100001,90592,86452.9
6,2,150001,129595,123835
6,3,200001,164905,157091
6,4,250001,196752,186719
6,5,300001,225385,213703
6,6,350001,251573,238514
6,7,400001,275182,260694
6,8,450001,296699,280973
6,9,500001,315936,299016
6,10,550001,333449,315121
6,11,600001,349386,337845
6,12,650001,363780,350430
6,13,700001,376839,361479
6,14,750001,388625,372112
6,15,800001,399183,381138
6,16,850001,408824,389644
6,17,900001,417338,397157
6,18,950001,425321,404401
6,19,1000000,432622,411174
7,0,50001,47619,45875
7,1,100001,90699,86809.2
7,2,150001,129591,123760
7,3,200001,164815,156820
7,4,250001,196527,186590
7,5,300001,225477,213351
